[Wed May 08 00:07:00.834728 2024] [php7:notice] [pid 168455] [client 116.203.134.67:55880] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:07:00.834738 2024] [php7:notice] [pid 168455] [client 116.203.134.67:55880] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:08:01.063615 2024] [php7:warn] [pid 168483] [client 23.88.105.37:7542] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:08:01.063683 2024] [php7:warn] [pid 168483] [client 23.88.105.37:7542] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:08:01.063693 2024] [php7:notice] [pid 168483] [client 23.88.105.37:7542] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:08:01.063699 2024] [php7:notice] [pid 168483] [client 23.88.105.37:7542] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:08:01.728815 2024] [php7:notice] [pid 168420] [client 116.203.134.67:9774] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:08:01.729478 2024] [php7:notice] [pid 168420] [client 116.203.134.67:9774] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:08:01.729488 2024] [php7:notice] [pid 168420] [client 116.203.134.67:9774] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:09:01.101336 2024] [php7:warn] [pid 168423] [client 23.88.105.37:29054] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:09:01.101449 2024] [php7:warn] [pid 168423] [client 23.88.105.37:29054] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:09:01.101463 2024] [php7:notice] [pid 168423] [client 23.88.105.37:29054] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:09:01.101473 2024] [php7:notice] [pid 168423] [client 23.88.105.37:29054] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:09:01.731559 2024] [php7:notice] [pid 168436] [client 116.203.134.67:29192] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:09:01.731598 2024] [php7:notice] [pid 168436] [client 116.203.134.67:29192] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:09:01.731606 2024] [php7:notice] [pid 168436] [client 116.203.134.67:29192] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:09:39.948928 2024] [php7:warn] [pid 168478] [client 196.201.212.74:33665] PHP Warning:  include_once(/var/www/html/finabora): failed to open stream: No such file or directory in /var/www/html/finabora/extensions/incoming-payments.php on line 3
[Wed May 08 00:09:39.948980 2024] [php7:warn] [pid 168478] [client 196.201.212.74:33665] PHP Warning:  include_once(): Failed opening '../' for inclusion (include_path='.:/usr/share/php') in /var/www/html/finabora/extensions/incoming-payments.php on line 3
[Wed May 08 00:09:39.948993 2024] [php7:notice] [pid 168478] [client 196.201.212.74:33665] PHP Notice:  Undefined index: c in /var/www/html/finabora/extensions/incoming-payments.php on line 4
[Wed May 08 00:10:01.025077 2024] [php7:notice] [pid 168436] [client 116.203.134.67:43598] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:10:01.025479 2024] [php7:notice] [pid 168436] [client 116.203.134.67:43598] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:10:01.025726 2024] [php7:notice] [pid 168436] [client 116.203.134.67:43598] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:10:01.522822 2024] [php7:warn] [pid 168483] [client 23.88.105.37:45444] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:10:01.522855 2024] [php7:warn] [pid 168483] [client 23.88.105.37:45444] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:10:01.522866 2024] [php7:notice] [pid 168483] [client 23.88.105.37:45444] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:10:01.522874 2024] [php7:notice] [pid 168483] [client 23.88.105.37:45444] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:11:01.098673 2024] [php7:warn] [pid 168485] [client 23.88.105.37:11990] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:11:01.098739 2024] [php7:warn] [pid 168485] [client 23.88.105.37:11990] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:11:01.098752 2024] [php7:notice] [pid 168485] [client 23.88.105.37:11990] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:11:01.098784 2024] [php7:notice] [pid 168485] [client 23.88.105.37:11990] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:11:01.593854 2024] [php7:notice] [pid 168423] [client 116.203.134.67:12166] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:11:01.593886 2024] [php7:notice] [pid 168423] [client 116.203.134.67:12166] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:11:01.593893 2024] [php7:notice] [pid 168423] [client 116.203.134.67:12166] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:12:00.743142 2024] [php7:warn] [pid 168483] [client 23.88.105.37:28124] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:12:00.743180 2024] [php7:warn] [pid 168483] [client 23.88.105.37:28124] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:12:00.743198 2024] [php7:notice] [pid 168483] [client 23.88.105.37:28124] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:12:00.743213 2024] [php7:notice] [pid 168483] [client 23.88.105.37:28124] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:12:01.626184 2024] [php7:notice] [pid 168554] [client 116.203.134.67:30534] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:12:01.626228 2024] [php7:notice] [pid 168554] [client 116.203.134.67:30534] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:12:01.626237 2024] [php7:notice] [pid 168554] [client 116.203.134.67:30534] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:13:00.772003 2024] [php7:notice] [pid 168420] [client 116.203.134.67:49584] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:13:00.772044 2024] [php7:notice] [pid 168420] [client 116.203.134.67:49584] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:13:00.772055 2024] [php7:notice] [pid 168420] [client 116.203.134.67:49584] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:13:00.785983 2024] [php7:warn] [pid 168560] [client 23.88.105.37:50800] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:13:00.786023 2024] [php7:warn] [pid 168560] [client 23.88.105.37:50800] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:13:00.786037 2024] [php7:notice] [pid 168560] [client 23.88.105.37:50800] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:13:00.786047 2024] [php7:notice] [pid 168560] [client 23.88.105.37:50800] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:14:01.480271 2024] [php7:warn] [pid 168554] [client 23.88.105.37:4666] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:14:01.480520 2024] [php7:warn] [pid 168554] [client 23.88.105.37:4666] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:14:01.480563 2024] [php7:notice] [pid 168554] [client 23.88.105.37:4666] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:14:01.480574 2024] [php7:notice] [pid 168554] [client 23.88.105.37:4666] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:14:01.481850 2024] [php7:notice] [pid 168484] [client 116.203.134.67:64814] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:14:01.481872 2024] [php7:notice] [pid 168484] [client 116.203.134.67:64814] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:14:01.481877 2024] [php7:notice] [pid 168484] [client 116.203.134.67:64814] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:15:00.950540 2024] [php7:warn] [pid 168473] [client 23.88.105.37:26110] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:15:00.950578 2024] [php7:warn] [pid 168473] [client 23.88.105.37:26110] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:15:00.950587 2024] [php7:notice] [pid 168473] [client 23.88.105.37:26110] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:15:00.950593 2024] [php7:notice] [pid 168473] [client 23.88.105.37:26110] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:15:02.298445 2024] [php7:notice] [pid 168570] [client 116.203.134.67:23702] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:15:02.298509 2024] [php7:notice] [pid 168570] [client 116.203.134.67:23702] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:15:02.298517 2024] [php7:notice] [pid 168570] [client 116.203.134.67:23702] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:16:00.801092 2024] [php7:warn] [pid 168485] [client 23.88.105.37:57706] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in /var/www/html/php_functions/functions.php on line 398
[Wed May 08 00:16:00.801144 2024] [php7:warn] [pid 168485] [client 23.88.105.37:57706] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in /var/www/html/php_functions/functions.php on line 399
[Wed May 08 00:16:00.801157 2024] [php7:notice] [pid 168485] [client 23.88.105.37:57706] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 253
[Wed May 08 00:16:00.801165 2024] [php7:notice] [pid 168485] [client 23.88.105.37:57706] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/php_functions/functions.php on line 254
[Wed May 08 00:16:01.589992 2024] [php7:notice] [pid 168560] [client 116.203.134.67:54286] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:16:01.590037 2024] [php7:notice] [pid 168560] [client 116.203.134.67:54286] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:16:01.590046 2024] [php7:notice] [pid 168560] [client 116.203.134.67:54286] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
[Wed May 08 00:17:00.618350 2024] [php7:notice] [pid 168484] [client 116.203.134.67:8978] PHP Notice:  Undefined index: p in /var/www/html/juhudibora/extensions/queue-disburse.php on line 4
[Wed May 08 00:17:00.618417 2024] [php7:notice] [pid 168484] [client 116.203.134.67:8978] PHP Notice:  Undefined index: offset in /var/www/html/juhudibora/extensions/queue-disburse.php on line 5
[Wed May 08 00:17:00.618425 2024] [php7:notice] [pid 168484] [client 116.203.134.67:8978] PHP Notice:  Undefined index: rpp in /var/www/html/juhudibora/extensions/queue-disburse.php on line 6
